BIOME,Name
1,Tropical and Subtropical Moist Broadleaf Forests
2,Tropical and Subtropical Dry Broadleaf Forests
3,Tropical and Subtropical Coniferous Forests
4,Temperate Broadleaf and Mixed Forests
5,Temperate Conifer Forests
6,Boreal Forests
7,"Tropical and Subtropical Grasslands, Savannas, and Shublands"
8,"Temperate Grasslands, Savannas, and Shublands"
9,Flooded Grasslands and Savannas
10,Montane Grasslands and Shrublands
11,Tundra
12,"Mediterranean Forests, Woodlands and Scrub"
13,Deserts and Xeric Shrublands
14,Mangroves
