"","BIOME","ISO_A3","carbon_potential","potential_value","CP"
"1",1,"",13411535.9694706,22,"pasture"
"2",1,"CAN",43293159.7413529,19,"pasture"
"3",1,"CHN",9501.93988235294,47,"pasture"
"4",1,"FIN",4488424.452,28,"pasture"
"5",1,"ISL",6985820.2127647,22,"pasture"
"6",1,"MNG",41283658.2637059,49,"pasture"
"7",1,"NOR",2327349.52305882,44,"pasture"
"8",1,"RUS",66121641.0557647,32,"pasture"
"9",1,"SPM",38180.5203529412,16,"pasture"
"10",1,"SWE",1358227.65335294,32,"pasture"
"11",1,"USA",3996737.43547059,19,"pasture"
"12",2,"",33510606.636,46,"pasture"
"13",2,"ABW",79926.8784705886,77,"pasture"
"14",2,"AFG",900444630.357882,81,"pasture"
"15",2,"AGO",99769078.0309411,50,"pasture"
"16",2,"AIA",65089.9900588236,56,"pasture"
"17",2,"ARE",2403689.66135294,18,"pasture"
"18",2,"ATG",196326.829235294,48,"pasture"
"19",2,"AUS",2325080239.02565,38,"pasture"
"20",2,"AZE",17404675.9484118,63,"pasture"
"21",2,"BHR",NA,NA,"pasture"
"22",2,"BRB",553622.159823528,76,"pasture"
"23",2,"BWA",95441499.3818823,14,"pasture"
"24",2,"CHL",367059.402529411,12,"pasture"
"25",2,"CHN",898993567.347176,60,"pasture"
"26",2,"COL",15103957.203,51,"pasture"
"27",2,"CUB",1430701.47352941,74,"pasture"
"28",2,"CUW",608237.241176471,68,"pasture"
"29",2,"DJI",3434295.78211765,17,"pasture"
"30",2,"DMA",12686.154,39,"pasture"
"31",2,"DZA",114814000.057941,14,"pasture"
"32",2,"ECU",915595.067294117,60,"pasture"
"33",2,"EGY",4540898.50023529,13,"pasture"
"34",2,"ERI",11308316.5944706,17,"pasture"
"35",2,"ESH",NA,NA,"pasture"
"36",2,"ETH",48321112.3362353,40,"pasture"
"37",2,"FRA",202891.520117647,53,"pasture"
"38",2,"GEO",2858761.7447647,60,"pasture"
"39",2,"GRD",3038.32623529412,28,"pasture"
"40",2,"GTM",1737.65047058824,89,"pasture"
"41",2,"IND",6649354.44847059,80,"pasture"
"42",2,"IRN",518862278.682882,48,"pasture"
"43",2,"IRQ",28012772.0779412,39,"pasture"
"44",2,"ISR",777056.055176471,26,"pasture"
"45",2,"JOR",1719385.13064706,19,"pasture"
"46",2,"KAZ",3856064971.20529,41,"pasture"
"47",2,"KGZ",2514.69529411765,45,"pasture"
"48",2,"KNA",3743.83764705882,24,"pasture"
"49",2,"KWT",1967887.67223529,26,"pasture"
"50",2,"LBY",147782844.301235,24,"pasture"
"51",2,"LCA",1245.633,30,"pasture"
"52",2,"LKA",673985.434764706,67,"pasture"
"53",2,"MAF",40198.8741176471,57,"pasture"
"54",2,"MAR",22824780.2729117,20.5,"pasture"
"55",2,"MDG",101136056.583176,48,"pasture"
"56",2,"MEX",275269445.19847,16,"pasture"
"57",2,"MLI",NA,NA,"pasture"
"58",2,"MNG",667438093.594059,34,"pasture"
"59",2,"MRT",NA,NA,"pasture"
"60",2,"MSR",5850.87123529412,22.5,"pasture"
"61",2,"NAM",327178377.222176,23,"pasture"
"62",2,"NER",6094153.50141176,14,"pasture"
"63",2,"NLD",195010.535294117,56,"pasture"
"64",2,"OMN",4543974.14841176,16,"pasture"
"65",2,"PAK",44644825.3900588,82,"pasture"
"66",2,"PER",15407039.0052353,22,"pasture"
"67",2,"PSE",115720.447941176,38,"pasture"
"68",2,"QAT",NA,NA,"pasture"
"69",2,"RUS",187669849.027059,41,"pasture"
"70",2,"SAU",19200728.431147,14.5,"pasture"
"71",2,"SDN",19448829.1821176,14,"pasture"
"72",2,"SOL",61614110.1254117,53,"pasture"
